SEG_ID,START_POINT,END_POINT,COUNT
139.0,POINT (466280.4 4435209.9),POINT (466282.1 4435195.6),23
139.0,POINT (466282.1 4435195.6),POINT (466280.4 4435209.9),2
140.0,POINT (466274 4435265.6),POINT (466280.4 4435209.9),22
140.0,POINT (466280.4 4435209.9),POINT (466274 4435265.6),2
141.0,POINT (466273.6 4435269.2),POINT (466274 4435265.6),22
141.0,POINT (466274 4435265.6),POINT (466273.6 4435269.2),2
142.0,POINT (466267.6 4435320.3),POINT (466273.6 4435269.2),26
142.0,POINT (466273.6 4435269.2),POINT (466267.6 4435320.3),6
143.0,POINT (466267 4435325.6),POINT (466267.6 4435320.3),27
143.0,POINT (466267.6 4435320.3),POINT (466267 4435325.6),7
144.0,POINT (466255.8 4435422.4),POINT (466267 4435325.6),14
144.0,POINT (466267 4435325.6),POINT (466255.8 4435422.4),4
145.0,POINT (466244.6 4435519.2),POINT (466255.8 4435422.4),8
145.0,POINT (466255.8 4435422.4),POINT (466244.6 4435519.2),1
146.0,POINT (466239.6 4435561.7),POINT (466244.6 4435519.2),17
146.0,POINT (466239.637861612 4435561.650144033),POINT (466244.5654194947 4435519.190921711),16
146.0,POINT (466244.5654194947 4435519.190921711),POINT (466239.637861612 4435561.650144033),8
146.0,POINT (466244.6 4435519.2),POINT (466239.6 4435561.7),12
147.0,POINT (466235.6 4435596.5),POINT (466239.6 4435561.7),30
147.0,POINT (466239.6 4435561.7),POINT (466235.6 4435596.5),18
148.0,POINT (466232.5 4435623),POINT (466235.6 4435596.5),29
148.0,POINT (466235.6 4435596.5),POINT (466232.5 4435623),18
149.0,POINT (466226.1 4435678.2),POINT (466232.5 4435623),13
149.0,POINT (466226.11408581503 4435678.180282673),POINT (466232.5178310147 4435623.001216773),14
149.0,POINT (466232.5 4435623),POINT (466226.1 4435678.2),8
149.0,POINT (466232.5178310147 4435623.001216773),POINT (466226.11408581503 4435678.180282673),8
150.0,POINT (466225.4 4435684.6),POINT (466226.1 4435678.2),26
150.0,POINT (466226.1 4435678.2),POINT (466225.4 4435684.6),18
151.0,POINT (466216.49431959074 4435761.070794068),POINT (466225.37361953757 4435684.560648577),22
151.0,POINT (466216.5 4435761.1),POINT (466225.4 4435684.6),5
151.0,POINT (466225.37361953757 4435684.560648577),POINT (466216.49431959074 4435761.070794068),15
151.0,POINT (466225.4 4435684.6),POINT (466216.5 4435761.1),2
152.0,POINT (466212 4435800.2),POINT (466216.5 4435761.1),23
152.0,POINT (466216.5 4435761.1),POINT (466212 4435800.2),16
153.0,POINT (466209.3 4435823),POINT (466212 4435800.2),23
153.0,POINT (466212 4435800.2),POINT (466209.3 4435823),16
154.0,POINT (466207.9 4435835),POINT (466209.3 4435823),24
154.0,POINT (466209.3 4435823),POINT (466207.9 4435835),16
155.0,POINT (466201.46122167236 4435890.606288513),POINT (466207.9173957974 4435834.975304935),1
155.0,POINT (466201.5 4435890.6),POINT (466207.9 4435835),21
155.0,POINT (466207.9 4435835),POINT (466201.5 4435890.6),15
156.0,POINT (466196.7 4435931.8),POINT (466201.5 4435890.6),21
156.0,POINT (466201.5 4435890.6),POINT (466196.7 4435931.8),14
157.0,POINT (466191.9 4435972.7),POINT (466196.7 4435931.8),16
157.0,POINT (466196.7 4435931.8),POINT (466191.9 4435972.7),15
158.0,POINT (466185.4 4436028.6),POINT (466191.9 4435972.7),13
158.0,POINT (466191.9 4435972.7),POINT (466185.4 4436028.6),14
159.0,POINT (466181.4 4436063.1),POINT (466185.4 4436028.6),13
159.0,POINT (466185.4 4436028.6),POINT (466181.4 4436063.1),19
160.0,POINT (466169.2 4436123.7),POINT (466181.4 4436063.1),2
160.0,POINT (466169.23772288236 4436123.651894403),POINT (466181.44649247226 4436063.066938817),9
160.0,POINT (466181.4 4436063.1),POINT (466169.2 4436123.7),6
160.0,POINT (466181.44649247226 4436063.066938817),POINT (466169.23772288236 4436123.651894403),12
161.0,POINT (466163.7 4436139.3),POINT (466169.2 4436123.7),6
161.0,POINT (466169.2 4436123.7),POINT (466163.7 4436139.3),12
162.0,POINT (466146.8 4436175.3),POINT (466163.7 4436139.3),4
162.0,POINT (466146.82079031854 4436175.301091082),POINT (466163.71892376896 4436139.2983109355),2
162.0,POINT (466163.7 4436139.3),POINT (466146.8 4436175.3),10
162.0,POINT (466163.71892376896 4436139.2983109355),POINT (466146.82079031854 4436175.301091082),2
163.0,POINT (466113.6661251434 4436220.625214437),POINT (466146.8207903179 4436175.301091082),1
163.0,POINT (466113.7 4436220.6),POINT (466146.8 4436175.3),1
163.0,POINT (466146.8 4436175.3),POINT (466113.7 4436220.6),3
163.0,POINT (466146.8207903179 4436175.301091082),POINT (466113.6661251434 4436220.625214437),5
164.0,POINT (466053.83601335564 4436263.2602119045),POINT (466113.6661251448 4436220.625214439),2
164.0,POINT (466113.6661251448 4436220.625214439),POINT (466053.83601335564 4436263.2602119045),7
164.0,POINT (466113.7 4436220.6),POINT (466053.8 4436263.3),1
165.0,POINT (465988.468844817 4436291.02973902),POINT (466053.8360133557 4436263.2602119045),3
165.0,POINT (466053.8 4436263.3),POINT (465988.5 4436291),3
165.0,POINT (466053.8360133557 4436263.2602119045),POINT (465988.468844817 4436291.02973902),5
166.0,POINT (465977.2 4436295.5),POINT (465988.5 4436291),4
166.0,POINT (465988.5 4436291),POINT (465977.2 4436295.5),8
167.0,POINT (465921.2 4436350.2),POINT (465977.2 4436295.5),4
167.0,POINT (465977.1996731153 4436295.4611829575),POINT (465921.2280555926 4436350.248165719),1
167.0,POINT (465977.2 4436295.5),POINT (465921.2 4436350.2),3
169.0,POINT (465907.6552711013 4436467.201937277),POINT (465921.2280555939 4436350.248165717),96
